,Unnamed: 0,county,demographic_category,demographic_value,est_population,est_age_5plus_pop,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,cumulative_unvax_total_pop,cumulative_unvax_12plus_pop,cumulative_unvax_5plus_pop,cumulative_booster_recip_count,date,bivalent_booster_recip_count,cumulative_bivalent_booster_recip_count,bivalent_booster_eligible_population,administered_year,up_to_date_count,cumulative_up_to_date_count
24,24,Los Angeles,Age Group,18-49,4408443.0,4408443.0,3213.0,363403.0,4789.0,3067417.0,3501.0,3430820.0,977623.0,977623.0,977623.0,19051.0,2021-09-18T00:00:00.000,,,,,,
25,25,Los Angeles,Age Group,18-49,4408443.0,4408443.0,1996.0,362794.0,2684.0,3070101.0,2075.0,3432895.0,975548.0,975548.0,975548.0,19250.0,2021-09-19T00:00:00.000,,,,,,
26,26,Los Angeles,Age Group,18-49,4408443.0,4408443.0,4456.0,361164.0,6581.0,3076682.0,4951.0,3437846.0,970597.0,970597.0,970597.0,19744.0,2021-09-20T00:00:00.000,,,,,,
27,27,Los Angeles,Age Group,18-49,4408443.0,4408443.0,3980.0,359735.0,5891.0,3082573.0,4462.0,3442308.0,966135.0,966135.0,966135.0,20228.0,2021-09-21T00:00:00.000,,,,,,
28,28,Los Angeles,Age Group,18-49,4408443.0,4408443.0,3964.0,358462.0,5555.0,3088128.0,4282.0,3446590.0,961853.0,961853.0,961853.0,20615.0,2021-09-22T00:00:00.000,,,,,,
29,29,Los Angeles,Age Group,18-49,4408443.0,4408443.0,4024.0,357730.0,5098.0,3093226.0,4366.0,3450956.0,957487.0,957487.0,957487.0,21128.0,2021-09-23T00:00:00.000,,,,,,
30,30,Los Angeles,Age Group,18-49,4408443.0,4408443.0,4547.0,356438.0,6240.0,3099466.0,4948.0,3455904.0,952539.0,952539.0,952539.0,22686.0,2021-09-24T00:00:00.000,,,,,,
31,31,Los Angeles,Age Group,18-49,4408443.0,4408443.0,2679.0,355714.0,3668.0,3103134.0,2944.0,3458848.0,949595.0,949595.0,949595.0,24066.0,2021-09-25T00:00:00.000,,,,,,
32,32,Los Angeles,Age Group,18-49,4408443.0,4408443.0,1197.0,355042.0,1965.0,3105099.0,1293.0,3460141.0,948302.0,948302.0,948302.0,24847.0,2021-09-26T00:00:00.000,,,,,,
33,33,Los Angeles,Age Group,18-49,4408443.0,4408443.0,4234.0,355939.0,3682.0,3108781.0,4579.0,3464720.0,943723.0,943723.0,943723.0,28403.0,2021-09-27T00:00:00.000,,,,,,
34,34,Los Angeles,Age Group,18-49,4408443.0,4408443.0,4437.0,355856.0,4996.0,3113777.0,4913.0,3469633.0,938810.0,938810.0,938810.0,32034.0,2021-09-28T00:00:00.000,,,,,,
35,35,Los Angeles,Age Group,18-49,4408443.0,4408443.0,4352.0,355180.0,5436.0,3119213.0,4760.0,3474393.0,934050.0,934050.0,934050.0,35911.0,2021-09-29T00:00:00.000,,,,,,
